ZIP_CODE,Load Zone,Utility
10016,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10018,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10019,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10023,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10026,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10030,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10037,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10045,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10048,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10087,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10110,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10112,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10119,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
11411,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
11418,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
11422,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
11427,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
11429,ConEd in Zone J,"Consolidated Edison Company of New York, Inc."
10915,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10930,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10932,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10981,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10986,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10989,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10996,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10998,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10910,ORU in Zone G,"Orange and Rockland Utilities, Inc."
10914,ORU in Zone G,"Orange and Rockland Utilities, Inc."
12721,ORU in Zone G,"Orange and Rockland Utilities, Inc."
12780,ORU in Zone G,"Orange and Rockland Utilities, Inc."
12784,ORU in Zone G,"Orange and Rockland Utilities, Inc."
12046,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12067,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12083,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12466,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12483,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12486,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12492,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12517,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12518,CHGE in Zone G,Central Hudson Gas & Electric Corporation
12444,CHGE in Zone G,Central Hudson Gas & Electric Corporation
13738,NYSEG in All Zones,New York State Electric & Gas Corporation
13021,NYSEG in All Zones,New York State Electric & Gas Corporation
13139,NYSEG in All Zones,New York State Electric & Gas Corporation
13147,NYSEG in All Zones,New York State Electric & Gas Corporation
13160,NYSEG in All Zones,New York State Electric & Gas Corporation
14441,NYSEG in All Zones,New York State Electric & Gas Corporation
14463,NYSEG in All Zones,New York State Electric & Gas Corporation
14505,NYSEG in All Zones,New York State Electric & Gas Corporation
14507,NYSEG in All Zones,New York State Electric & Gas Corporation
14809,NYSEG in All Zones,New York State Electric & Gas Corporation
14812,NYSEG in All Zones,New York State Electric & Gas Corporation
14825,NYSEG in All Zones,New York State Electric & Gas Corporation
14827,NYSEG in All Zones,New York State Electric & Gas Corporation
14855,NYSEG in All Zones,New York State Electric & Gas Corporation
14864,NYSEG in All Zones,New York State Electric & Gas Corporation
14872,NYSEG in All Zones,New York State Electric & Gas Corporation
14873,NYSEG in All Zones,New York State Electric & Gas Corporation
14879,NYSEG in All Zones,New York State Electric & Gas Corporation
14883,NYSEG in All Zones,New York State Electric & Gas Corporation
14892,NYSEG in All Zones,New York State Electric & Gas Corporation
14894,NYSEG in All Zones,New York State Electric & Gas Corporation
14898,NYSEG in All Zones,New York State Electric & Gas Corporation
14544,NYSEG in All Zones,New York State Electric & Gas Corporation
14709,NYSEG in All Zones,New York State Electric & Gas Corporation
13850,NYSEG in All Zones,New York State Electric & Gas Corporation
13903,NYSEG in All Zones,New York State Electric & Gas Corporation
10509,NYSEG in All Zones,New York State Electric & Gas Corporation
12564,NYSEG in All Zones,New York State Electric & Gas Corporation
12570,NYSEG in All Zones,New York State Electric & Gas Corporation
12592,NYSEG in All Zones,New York State Electric & Gas Corporation
12594,NYSEG in All Zones,New York State Electric & Gas Corporation
12420,NYSEG in All Zones,New York State Electric & Gas Corporation
14139,NYSEG in All Zones,New York State Electric & Gas Corporation
14141,NYSEG in All Zones,New York State Electric & Gas Corporation
14276,NYSEG in All Zones,New York State Electric & Gas Corporation
14772,NYSEG in All Zones,New York State Electric & Gas Corporation
14730,NYSEG in All Zones,New York State Electric & Gas Corporation
14004,NYSEG in All Zones,New York State Electric & Gas Corporation
14010,NYSEG in All Zones,New York State Electric & Gas Corporation
14030,NYSEG in All Zones,New York State Electric & Gas Corporation
14061,NYSEG in All Zones,New York State Electric & Gas Corporation
12020,NYSEG in All Zones,New York State Electric & Gas Corporation
12024,NYSEG in All Zones,New York State Electric & Gas Corporation
12118,NYSEG in All Zones,New York State Electric & Gas Corporation
12169,NYSEG in All Zones,New York State Electric & Gas Corporation
12465,NYSEG in All Zones,New York State Electric & Gas Corporation
12468,NYSEG in All Zones,New York State Electric & Gas Corporation
12727,NYSEG in All Zones,New York State Electric & Gas Corporation
12167,NYSEG in All Zones,New York State Electric & Gas Corporation
12434,NYSEG in All Zones,New York State Electric & Gas Corporation
12749,NYSEG in All Zones,New York State Electric & Gas Corporation
12752,NYSEG in All Zones,New York State Electric & Gas Corporation
12767,NYSEG in All Zones,New York State Electric & Gas Corporation
12776,NYSEG in All Zones,New York State Electric & Gas Corporation
13455,NYSEG in All Zones,New York State Electric & Gas Corporation
13310,NYSEG in All Zones,New York State Electric & Gas Corporation
13320,NYSEG in All Zones,New York State Electric & Gas Corporation
13334,NYSEG in All Zones,New York State Electric & Gas Corporation
13337,NYSEG in All Zones,New York State Electric & Gas Corporation
13340,NYSEG in All Zones,New York State Electric & Gas Corporation
13355,NYSEG in All Zones,New York State Electric & Gas Corporation
13809,NYSEG in All Zones,New York State Electric & Gas Corporation
13810,NYSEG in All Zones,New York State Electric & Gas Corporation
13826,NYSEG in All Zones,New York State Electric & Gas Corporation
13830,NYSEG in All Zones,New York State Electric & Gas Corporation
13834,NYSEG in All Zones,New York State Electric & Gas Corporation
13856,NYSEG in All Zones,New York State Electric & Gas Corporation
12901,NYSEG in All Zones,New York State Electric & Gas Corporation
12911,NYSEG in All Zones,New York State Electric & Gas Corporation
12917,NYSEG in All Zones,New York State Electric & Gas Corporation
12935,NYSEG in All Zones,New York State Electric & Gas Corporation
10535,NYSEG in All Zones,New York State Electric & Gas Corporation
10578,NYSEG in All Zones,New York State Electric & Gas Corporation
10587,NYSEG in All Zones,New York State Electric & Gas Corporation
13329,NGRID in All Zones,Niagara Mohawk Power Corporation
12073,NGRID in All Zones,Niagara Mohawk Power Corporation
13020,NGRID in All Zones,Niagara Mohawk Power Corporation
13021,NGRID in All Zones,Niagara Mohawk Power Corporation
13031,NGRID in All Zones,Niagara Mohawk Power Corporation
13045,NGRID in All Zones,Niagara Mohawk Power Corporation
13078,NGRID in All Zones,Niagara Mohawk Power Corporation
13114,NGRID in All Zones,Niagara Mohawk Power Corporation
13152,NGRID in All Zones,Niagara Mohawk Power Corporation
13164,NGRID in All Zones,Niagara Mohawk Power Corporation
13202,NGRID in All Zones,Niagara Mohawk Power Corporation
13205,NGRID in All Zones,Niagara Mohawk Power Corporation
14806,NGRID in All Zones,Niagara Mohawk Power Corporation
12965,NGRID in All Zones,Niagara Mohawk Power Corporation
12972,NGRID in All Zones,Niagara Mohawk Power Corporation
12980,NGRID in All Zones,Niagara Mohawk Power Corporation
13035,NGRID in All Zones,Niagara Mohawk Power Corporation
