,GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,area,coverage,dac_coverage,pre_screened_coverage
1590,11764,ZCTA5 11764,S1901_C01_012,123149.0,13600.0,11764,0,23763697.876935583,,,
1591,14435,ZCTA5 14435,S1901_C01_012,68984.0,6746.0,14435,0,94733995.50990792,0.06877312566875365,,
1592,14428,ZCTA5 14428,S1901_C01_012,69930.0,4794.0,14428,0,133140306.7405045,,,
1593,12819,ZCTA5 12819,S1901_C01_012,59464.0,20634.0,12819,0,76058374.6048632,,,
1594,12450,ZCTA5 12450,S1901_C01_012,,,12450,0,25615162.203056272,2.618607193559412e-07,,
1595,10914,ZCTA5 10914,S1901_C01_012,133047.0,25164.0,10914,1,6397187.09685647,,,
1596,10950,ZCTA5 10950,S1901_C01_012,76637.0,4323.0,10950,1,97939201.37803805,,,
1597,11222,ZCTA5 11222,S1901_C01_012,85111.0,3740.0,11222,0,4140122.038890128,,,
1598,11378,ZCTA5 11378,S1901_C01_012,73333.0,2326.0,11378,0,6776981.78512234,,,
1599,13731,ZCTA5 13731,S1901_C01_012,42917.0,10573.0,13731,0,239839404.1508722,1.0000000000000004,,
1600,12019,ZCTA5 12019,S1901_C01_012,99844.0,7061.0,12019,0,77658777.5175118,0.08410252404762007,,
1601,12203,ZCTA5 12203,S1901_C01_012,59394.0,4719.0,12203,0,29634941.265893016,,,
1602,13031,ZCTA5 13031,S1901_C01_012,72703.0,4870.0,13031,0,62820721.18922725,0.03189286926543952,,
1603,12207,ZCTA5 12207,S1901_C01_012,15815.0,2711.0,12207,0,3142367.2560691326,,,
1604,10507,ZCTA5 10507,S1901_C01_012,64500.0,10655.0,10507,0,19030495.112344347,0.9960065193054872,0.00016646611628373526,
1605,12173,ZCTA5 12173,S1901_C01_012,73958.0,14645.0,12173,0,44385630.295633115,,,
1606,14536,ZCTA5 14536,S1901_C01_012,45208.0,13218.0,14536,0,47499996.84805109,0.46845210979515967,,
1607,13159,ZCTA5 13159,S1901_C01_012,71548.0,6781.0,13159,0,205197090.11068618,0.00018393830918835805,,
1608,14060,ZCTA5 14060,S1901_C01_012,44375.0,20719.0,14060,0,46259579.04029018,,,
1609,13355,ZCTA5 13355,S1901_C01_012,65956.0,11849.0,13355,0,75386354.29247499,0.9999999999999996,,
1610,12801,ZCTA5 12801,S1901_C01_012,48485.0,4311.0,12801,0,10593388.711118445,,,
1611,12407,ZCTA5 12407,S1901_C01_012,37404.0,2990.0,12407,0,8634577.785491087,1.0000000000000002,,
