"","GEOID","NAME","variable","estimate","moe","geoid_int","sf_tag","area","intersection_area","coverage","pre_screened","dac","Utility"
"48","10930","ZCTA5 10930","S1901_C01_012",131111,12122,10930,TRUE,36317165.1022309,4632698.08224655,0.127562216632431,TRUE,FALSE,"CHGE"
"49","12469","ZCTA5 12469","S1901_C01_012",47917,8316,12469,FALSE,87749890.3438787,57887688.2578937,0.659689579451786,FALSE,FALSE,"CHGE"
"50","12580","ZCTA5 12580","S1901_C01_012",69554,12032,12580,FALSE,56348710.6329454,56348710.6330977,1.0000000000027,FALSE,TRUE,"CHGE"
"51","10941","ZCTA5 10941","S1901_C01_012",73056,6572,10941,TRUE,83355436.8160401,4269156.34239421,0.0512162914077933,FALSE,TRUE,"CHGE"
"52","12418","ZCTA5 12418","S1901_C01_012",67500,13282,12418,FALSE,35679673.4898191,35493996.0789341,0.994795989068175,FALSE,FALSE,"CHGE"
"53","12549","ZCTA5 12549","S1901_C01_012",91386,7312,12549,FALSE,101771565.729238,46332751.5809095,0.455262245882874,FALSE,TRUE,"CHGE"
"54","12472","ZCTA5 12472","S1901_C01_012",67857,16884,12472,FALSE,9644918.17499452,9644918.17500127,1.0000000000007,FALSE,TRUE,"CHGE"
"55","12475","ZCTA5 12475","S1901_C01_012",NA,NA,12475,FALSE,3176698.30238653,3176698.30238799,1.00000000000046,FALSE,TRUE,"CHGE"
"56","12444","ZCTA5 12444","S1901_C01_012",57917,21703,12444,FALSE,40055648.4069681,39705241.7518057,0.991252003922086,FALSE,FALSE,"CHGE"
"57","12765","ZCTA5 12765","S1901_C01_012",88721,18957,12765,FALSE,32484927.2013498,3794621.60813415,0.116811762717341,FALSE,TRUE,"CHGE"
"58","12433","ZCTA5 12433","S1901_C01_012",65847,19586,12433,FALSE,10110514.525359,10110514.5253515,0.999999999999258,FALSE,FALSE,"CHGE"
"59","12411","ZCTA5 12411","S1901_C01_012",72125,26842,12411,FALSE,2480539.03066583,2480539.03066131,0.999999999998177,FALSE,TRUE,"CHGE"
"60","12143","ZCTA5 12143","S1901_C01_012",59159,8518,12143,FALSE,50512289.3590611,25304214.7946957,0.500951651880662,FALSE,FALSE,"CHGE"
"61","12570","ZCTA5 12570","S1901_C01_012",101214,7488,12570,FALSE,56257944.3825988,15391784.1642255,0.27359307797578,FALSE,TRUE,"CHGE"
"62","12480","ZCTA5 12480","S1901_C01_012",NA,NA,12480,FALSE,87786879.1274411,42629145.7982578,0.485598146579202,FALSE,FALSE,"CHGE"
"63","12487","ZCTA5 12487","S1901_C01_012",64545,15159,12487,FALSE,41365176.0445994,41365176.0446568,1.00000000000139,FALSE,TRUE,"CHGE"
"64","10992","ZCTA5 10992","S1901_C01_012",97000,12504,10992,TRUE,28794294.698441,6239552.35777763,0.216694050787619,FALSE,TRUE,"CHGE"
"65","12471","ZCTA5 12471","S1901_C01_012",NA,NA,12471,FALSE,1425130.72726591,1425130.7272624,0.999999999997538,FALSE,FALSE,"CHGE"
"66","12046","ZCTA5 12046","S1901_C01_012",84650,33270,12046,FALSE,45094175.8959523,20970136.8107523,0.465029826892447,FALSE,FALSE,"CHGE"
"67","12486","ZCTA5 12486","S1901_C01_012",98264,25686,12486,FALSE,9269410.1805248,9269410.1805442,1.00000000000209,FALSE,TRUE,"CHGE"
"68","12740","ZCTA5 12740","S1901_C01_012",70517,8196,12740,FALSE,194912603.857507,194463282.50759,0.997694754772018,FALSE,TRUE,"CHGE"
"69","10524","ZCTA5 10524","S1901_C01_012",122419,9696,10524,FALSE,54651174.7244776,53997397.5862935,0.988037271998633,FALSE,TRUE,"CHGE"
"70","10916","ZCTA5 10916","S1901_C01_012",101793,12629,10916,TRUE,52453634.8274806,50210027.1412008,0.957226840548629,FALSE,TRUE,"CHGE"
"71","12045","ZCTA5 12045","S1901_C01_012",51161,14821,12045,FALSE,2279508.56289249,1381479.46794488,0.606042675352758,FALSE,FALSE,"CHGE"
"72","12439","ZCTA5 12439","S1901_C01_012",33833,3040,12439,FALSE,20301882.1465671,1125523.87011567,0.0554393854712622,FALSE,FALSE,"CHGE"
"73","12440","ZCTA5 12440","S1901_C01_012",70227,29455,12440,FALSE,60935209.5025458,60935209.5008856,0.999999999972755,FALSE,TRUE,"CHGE"
"74","12443","ZCTA5 12443","S1901_C01_012",93712,15064,12443,FALSE,46951457.7090179,46951457.7090137,0.99999999999991,FALSE,TRUE,"CHGE"
"75","12503","ZCTA5 12503","S1901_C01_012",69706,20346,12503,FALSE,54787182.0723915,54593895.4251056,0.996472046198133,FALSE,FALSE,"CHGE"
"76","12507","ZCTA5 12507","S1901_C01_012",57386,25192,12507,FALSE,3904835.17072313,3904835.17082976,1.00000000002731,FALSE,TRUE,"CHGE"
"77","12514","ZCTA5 12514","S1901_C01_012",108149,5748,12514,FALSE,69596928.3130747,69596928.3144339,1.00000000001953,FALSE,FALSE,"CHGE"
"78","12457","ZCTA5 12457","S1901_C01_012",51875,28206,12457,FALSE,36097884.7982005,21368771.2088534,0.591967405522848,FALSE,FALSE,"CHGE"
"79","12531","ZCTA5 12531","S1901_C01_012",101875,37205,12531,FALSE,47763735.329748,8369903.52596689,0.17523553106103,FALSE,FALSE,"CHGE"
"80","12481","ZCTA5 12481","S1901_C01_012",54769,22852,12481,FALSE,32646354.3902022,32646354.3901945,0.999999999999763,FALSE,FALSE,"CHGE"
"81","12483","ZCTA5 12483","S1901_C01_012",NA,NA,12483,TRUE,8641108.46589295,6229910.35202886,0.720961943322289,FALSE,TRUE,"CHGE"
"82","12484","ZCTA5 12484","S1901_C01_012",64155,12108,12484,FALSE,61588742.3193846,61588742.3194869,1.00000000000166,FALSE,FALSE,"CHGE"
"83","12492","ZCTA5 12492","S1901_C01_012",50938,34314,12492,FALSE,99489943.2381161,99488775.0857926,0.999988258588904,FALSE,FALSE,"CHGE"
"84","12524","ZCTA5 12524","S1901_C01_012",81616,5211,12524,FALSE,42429576.7203,42429576.7200306,0.999999999993649,FALSE,TRUE,"CHGE"
"85","12533","ZCTA5 12533","S1901_C01_012",102848,7205,12533,FALSE,127682807.734851,103298518.593836,0.809024491444054,FALSE,TRUE,"CHGE"
"86","12023","ZCTA5 12023","S1901_C01_012",72411,11030,12023,FALSE,149722131.319616,8293924.53827978,0.0553954479887446,FALSE,FALSE,"CHGE"
"87","12431","ZCTA5 12431","S1901_C01_012",51250,21167,12431,FALSE,39980376.9313012,39980376.9312231,0.999999999998046,FALSE,FALSE,"CHGE"
"88","12428","ZCTA5 12428","S1901_C01_012",46571,5249,12428,FALSE,141082287.756255,141081136.030393,0.999991836495701,FALSE,TRUE,"CHGE"
"89","12429","ZCTA5 12429","S1901_C01_012",NA,NA,12429,FALSE,5456726.17333877,5456726.17333186,0.999999999998733,FALSE,FALSE,"CHGE"
"90","12538","ZCTA5 12538","S1901_C01_012",74323,4814,12538,FALSE,68689335.3907486,68689335.3907498,1.00000000000002,FALSE,TRUE,"CHGE"
"91","12540","ZCTA5 12540","S1901_C01_012",115821,7056,12540,FALSE,88855917.5815465,80838751.1877938,0.909773410573415,FALSE,TRUE,"CHGE"
"92","12449","ZCTA5 12449","S1901_C01_012",52826,7397,12449,FALSE,9817229.42474543,9817229.42473169,0.9999999999986,FALSE,TRUE,"CHGE"
"93","12528","ZCTA5 12528","S1901_C01_012",70451,7106,12528,FALSE,108198420.144279,108198420.144725,1.00000000000412,FALSE,TRUE,"CHGE"
"94","12545","ZCTA5 12545","S1901_C01_012",88715,11368,12545,FALSE,142184961.631579,140299837.892055,0.986741750197123,FALSE,TRUE,"CHGE"
"95","12451","ZCTA5 12451","S1901_C01_012",59725,9248,12451,FALSE,30690973.9310003,30690973.9310089,1.00000000000028,FALSE,TRUE,"CHGE"
"96","12458","ZCTA5 12458","S1901_C01_012",44539,6723,12458,FALSE,83827026.4707407,83827026.4705539,0.999999999997771,FALSE,TRUE,"CHGE"
"97","12460","ZCTA5 12460","S1901_C01_012",26850,4458,12460,FALSE,5366393.50318173,5366393.50317602,0.999999999998937,FALSE,FALSE,"CHGE"
"98","12463","ZCTA5 12463","S1901_C01_012",77542,24145,12463,FALSE,28090306.2216659,28090306.2216639,0.999999999999927,FALSE,FALSE,"CHGE"
