ZIP,Utility,zip_flag,pre_screen_flag,dac_flag
14102,ORU,FALSE,FALSE,FALSE
11778,ORU,FALSE,FALSE,FALSE
11789,ORU,FALSE,FALSE,FALSE
11794,ORU,FALSE,FALSE,FALSE
11796,ORU,FALSE,FALSE,FALSE
11934,ORU,FALSE,FALSE,FALSE
11948,ORU,FALSE,FALSE,FALSE
11955,ORU,FALSE,FALSE,FALSE
14125,ORU,FALSE,FALSE,FALSE
14135,ORU,FALSE,FALSE,FALSE
14168,ORU,FALSE,FALSE,FALSE
14204,ORU,FALSE,FALSE,FALSE
14216,ORU,FALSE,FALSE,FALSE
12414,ORU,FALSE,FALSE,FALSE
12416,ORU,FALSE,FALSE,FALSE
12438,ORU,FALSE,FALSE,FALSE
10601,ORU,FALSE,FALSE,FALSE
11421,ORU,FALSE,FALSE,FALSE
12814,ORU,FALSE,FALSE,FALSE
12827,ORU,FALSE,FALSE,FALSE
12832,ORU,FALSE,FALSE,FALSE
12448,ORU,FALSE,FALSE,FALSE
14881,ORU,FALSE,FALSE,FALSE
14901,ORU,FALSE,FALSE,FALSE
13126,ORU,FALSE,FALSE,FALSE
13607,ORU,FALSE,FALSE,FALSE
13619,ORU,FALSE,FALSE,FALSE
13623,ORU,FALSE,FALSE,FALSE
13624,ORU,FALSE,FALSE,FALSE
13643,ORU,FALSE,FALSE,FALSE
13647,ORU,FALSE,FALSE,FALSE
12574,ORU,FALSE,FALSE,FALSE
11693,ORU,FALSE,FALSE,FALSE
13045,ORU,FALSE,FALSE,FALSE
13051,ORU,FALSE,FALSE,FALSE
13062,ORU,FALSE,FALSE,FALSE
13076,ORU,FALSE,FALSE,FALSE
12742,ORU,FALSE,FALSE,FALSE
12751,ORU,FALSE,FALSE,FALSE
13420,ORU,FALSE,FALSE,FALSE
13421,ORU,FALSE,FALSE,FALSE
13435,ORU,FALSE,FALSE,FALSE
13471,ORU,FALSE,FALSE,FALSE
13087,ORU,FALSE,FALSE,FALSE
13113,ORU,FALSE,FALSE,FALSE
13117,ORU,FALSE,FALSE,FALSE
12937,ORU,FALSE,FALSE,FALSE
12970,ORU,FALSE,FALSE,FALSE
12975,ORU,FALSE,FALSE,FALSE
12978,ORU,FALSE,FALSE,FALSE
12986,ORU,FALSE,FALSE,FALSE
13020,ORU,FALSE,FALSE,FALSE
13021,ORU,FALSE,FALSE,FALSE
11020,ORU,FALSE,FALSE,FALSE
13784,ORU,FALSE,FALSE,FALSE
12455,ORU,FALSE,FALSE,FALSE
12466,ORU,FALSE,FALSE,FALSE
12530,ORU,FALSE,FALSE,FALSE
12534,ORU,FALSE,FALSE,FALSE
12547,ORU,FALSE,FALSE,FALSE
12722,ORU,TRUE,FALSE,FALSE
13333,ORU,FALSE,FALSE,FALSE
13338,ORU,FALSE,FALSE,FALSE
13134,ORU,FALSE,FALSE,FALSE
13163,ORU,FALSE,FALSE,FALSE
13205,ORU,FALSE,FALSE,FALSE
13211,ORU,FALSE,FALSE,FALSE
13290,ORU,FALSE,FALSE,FALSE
13309,ORU,FALSE,FALSE,FALSE
13341,ORU,FALSE,FALSE,FALSE
13365,ORU,FALSE,FALSE,FALSE
13410,ORU,FALSE,FALSE,FALSE
13662,ORU,FALSE,FALSE,FALSE
10009,ORU,FALSE,FALSE,FALSE
10522,ORU,FALSE,FALSE,FALSE
10177,ORU,FALSE,FALSE,FALSE
14585,ORU,FALSE,FALSE,FALSE
14070,ORU,FALSE,FALSE,FALSE
10454,ORU,FALSE,FALSE,FALSE
12024,ORU,FALSE,FALSE,FALSE
12816,ORU,FALSE,FALSE,FALSE
14721,ORU,FALSE,FALSE,FALSE
10173,ORU,FALSE,FALSE,FALSE
10023,ORU,FALSE,FALSE,FALSE
11973,ORU,FALSE,FALSE,FALSE
10006,ORU,FALSE,FALSE,FALSE
12884,ORU,FALSE,FALSE,FALSE
12007,ORU,FALSE,FALSE,FALSE
13069,ORU,FALSE,FALSE,FALSE
10010,ORU,FALSE,FALSE,FALSE
