GEOID,snap_hh,medicaid_pop,total_pop
35017964600,224,1190,2962
35017964700,468,1795,5391
35017964800,76,624,1713
35019961600,231,1184,4353
35021000100,7,77,441
35023970000,40,576,1926
35023970200,305,1080,2371
35025000100,227,1404,3572
35025000200,309,1513,3995
35025000300,377,2127,4042
35025000400,425,1688,3415
35025000502,436,2210,7152
35025000503,55,675,3993
35025000504,89,429,3877
35025000600,411,1548,6757
35025000701,84,542,1872
35025000702,55,536,4002
35025000703,57,323,2694
35025000704,115,604,2983
35025000800,96,725,3584
35025000900,70,560,2039
35025001003,88,1208,4383
35025001004,165,745,3823
35025001005,250,1635,3396
35025001100,167,1213,4698
35027960200,83,287,1459
35027960300,106,572,2892
35027960400,487,2394,6911
35027960600,151,1713,6041
35027960800,101,809,2158
35028000100,28,111,3691
35028000200,41,94,5414
35028000400,78,407,3694
35028000500,10,291,5826
35029000100,666,2609,5881
35029000200,282,1657,3822
35029000300,301,1098,2242
35029000400,460,2561,4854
35029000500,367,2148,4148
35029000600,317,1960,3136
35031940300,602,4691,7265
35031940500,183,1120,1737
35031943500,360,1871,3861
35031943600,601,3734,5630
35031943700,324,2397,4073
35031943800,478,2760,5730
35031943901,290,2581,4439
35031943902,352,2249,4427
35031944000,264,1288,2218
35031945200,263,2938,7344
35031945300,463,2377,3288
35031945400,104,973,2604
35031945500,214,2001,6165
35031945600,217,2151,5490
35031945700,182,1331,2108
35031946000,521,3042,4971
35031973100,68,325,1088
35033955200,531,1863,4536
35035000100,247,1056,1661
35035000200,163,669,1770
35035000303,211,1089,2443
35035000304,168,659,3463
35035000305,369,1988,4295
35035000306,247,935,3285
35035000401,253,1224,4355
35035000402,267,1304,7429
35035000500,375,3001,5330
35035000601,17,193,4137
35035000602,160,1003,2872
35035000603,138,655,2030
35035000700,194,1712,5414
35035000901,63,606,2902
35035000902,804,4548,10917
35035940000,314,1620,3834
35037958601,219,1234,2746
35037958602,205,1683,3100
35037958900,44,692,2480
35039000100,150,864,3090
35039000200,183,1312,3019
35039000300,257,1483,5536
35039000400,160,1275,4235
35039000500,130,1141,3706
35039940700,308,1506,3569
35039940800,185,1612,5176
35039941000,154,1842,4652
35039944100,362,2502,6176
35041000100,391,1563,3870
35041000200,435,1688,3600
35041000300,141,1218,4457
35041000401,203,1036,3162
35041000402,145,952,3799
35043010503,311,1224,3790
35043010601,30,398,4705
35043010602,34,261,3883
35043010702,289,1091,7044
35043010703,295,1609,9875
35043010705,179,1076,5047
35043010712,240,1190,5054
35043010713,385,2331,5823
35043010714,218,1125,4552
35043010715,198,1019,3577
35043010716,319,1666,6403
35043010717,357,2551,9701
35043010718,220,1183,7565
35043010719,114,1001,4146
35043010720,103,1088,9556
35043010721,188,1486,4525
35043010722,245,1567,6140
35043010723,400,2628,11800
35043010900,115,967,2473
35043011000,84,546,1853
35043011100,66,937,6615
35043011200,139,1239,2838
35043940200,214,1179,3259
35043940300,0,0,0
35043940500,343,1573,4233
35043940600,109,751,2059
35043940700,181,1091,3394
35043940900,286,1919,2794
35045000100,465,2443,4740
35045000201,82,700,4190
35045000202,24,410,4683
35045000204,100,603,2011
35045000205,523,2369,6135
35045000301,535,1620,4897
35045000302,184,874,3555
35045000401,187,1242,4887
35045000402,276,1373,3817
35045000503,286,1641,3355
35045000504,65,451,1889
35045000505,165,1630,6197
35045000607,179,967,4483
35045000608,358,2460,6432
35045000609,106,471,1371
35045000610,331,1806,4252
35045000611,52,687,3476
35045000612,173,963,2262
35045000613,175,543,4177
35045000702,38,145,1175
35045000705,221,1342,3772
35045000706,160,1014,2859
35045000707,194,1116,4135
35045000708,242,2005,4416
35045000900,138,521,2169
35045942801,219,1294,2610
35045942802,414,3100,6996
35045942803,272,1408,2568
35045942900,465,2533,4656
35045943000,365,1999,4508
35045943100,199,878,1962
35045943201,456,2957,5696
35045943300,124,700,2184
35047957200,628,1919,3839
35047957300,447,1056,2471
35047957400,655,2292,4638
35047957500,317,1673,4354
35047957600,666,1754,5946
35047957700,290,745,2135
35047957800,624,1834,4355
35049000101,97,453,4024
35049000200,73,527,3649
35049000300,173,377,1497
35049000400,4,10,279
35049000500,31,181,1734
35049000600,33,320,1986
35049000700,142,498,1852
35049000800,174,675,3073
35049000900,170,747,3187
35049001001,118,389,1910
35049001002,387,1480,3681
35049001102,120,432,3527
35049001103,66,385,1616
35049001105,117,478,2486
35049001106,200,976,3382
35049001107,269,1382,4970
35049001202,374,2157,6055
35049001203,177,1066,3047
35049001204,492,2618,6757
35049001205,346,2022,5719
35049001301,60,337,1856
35049001302,76,722,2405
35049001303,474,2053,7216
35049001304,59,278,843
35049010102,265,1592,4102
35049010203,2,102,913
35049010204,6,148,2202
35049010304,98,907,4005
35049010308,160,693,2471
35049010309,63,605,1912
35049010310,34,128,1293
35049010311,65,766,4500
35049010312,254,1826,4711
35049010314,58,258,2153
35049010315,86,489,2411
35049010316,7,157,1462
